No.,Pos.,Player,Age,Caps,Goals,Club,Team
12,GK,Bernd Leno,32,9,0,Fulham,Germany
22,GK,Marc-André ter Stegen,31,40,0,Barcelona,Germany
24,GK,Oliver Baumann,33,0,0,TSG Hoffenheim,Germany
2,DF,Antonio Rüdiger,31,68,3,Real Madrid,Germany
3,DF,David Raum,25,20,0,RB Leipzig,Germany
4,DF,Jonathan Tah,28,23,0,Bayer Leverkusen,Germany
6,DF,Joshua Kimmich,29,84,6,Bayern Munich,Germany
15,DF,Robin Koch,27,8,0,Eintracht Frankfurt,Germany
16,DF,Waldemar Anton,27,1,0,VfB Stuttgart,Germany
18,DF,Maximilian Mittelstädt,27,2,1,VfB Stuttgart,Germany
20,DF,Benjamin Henrichs,27,14,0,RB Leipzig,Germany
5,MF,Pascal Groß,32,5,0,Brighton & Hove Albion,Germany
8,MF,Toni Kroos,34,108,17,Real Madrid,Germany
10,MF,Jamal Musiala,21,27,2,Bayern Munich,Germany
11,MF,Chris Führich,26,3,0,VfB Stuttgart,Germany
17,MF,Florian Wirtz,20,16,1,Bayer Leverkusen,Germany
21,MF,İlkay Gündoğan (captain),33,75,18,Barcelona,Germany
23,MF,Robert Andrich,29,3,0,Bayer Leverkusen,Germany
7,FW,Kai Havertz,24,44,15,Arsenal,Germany
9,FW,Niclas Füllkrug,31,15,11,Borussia Dortmund,Germany
13,FW,Thomas Müller,34,128,45,Bayern Munich,Germany
14,FW,Maximilian Beier,21,0,0,TSG Hoffenheim,Germany
26,FW,Deniz Undav,27,1,0,VfB Stuttgart,Germany
1,GK,Koen Casteels,31,8,0,VfL Wolfsburg,Belgium
12,GK,Thomas Kaminski,31,1,0,Luton Town,Belgium
13,GK,Matz Sels,32,7,0,Nottingham Forest,Belgium
25,GK,Arnaud Bodart,26,0,0,Standard Liège,Belgium
2,DF,Zeno Debast,20,5,0,Anderlecht,Belgium
3,DF,Arthur Theate,23,14,0,Rennes,Belgium
4,DF,Wout Faes,25,12,0,Leicester City,Belgium
5,DF,Jan Vertonghen,36,153,10,Anderlecht,Belgium
15,DF,Thomas Meunier,32,63,8,Trabzonspor,Belgium
16,DF,Olivier Deman,23,3,0,Werder Bremen,Belgium
21,DF,Timothy Castagne,28,40,2,Fulham,Belgium
24,DF,Koni De Winter,21,1,0,Genoa,Belgium
6,MF,Amadou Onana,22,10,0,Everton,Belgium
8,MF,Youri Tielemans,26,66,5,Aston Villa,Belgium
17,MF,Charles De Ketelaere,23,14,2,Atalanta,Belgium
18,MF,Orel Mangala,26,12,0,Lyon,Belgium
20,MF,Arthur Vermeeren,19,3,0,Atlético Madrid,Belgium
22,MF,Aster Vranckx,21,5,0,VfL Wolfsburg,Belgium
7,FW,Jérémy Doku,21,19,2,Manchester City,Belgium
9,FW,Loïs Openda,24,15,2,RB Leipzig,Belgium
10,FW,Romelu Lukaku (vice-captain),30,113,83,Roma,Belgium
11,FW,Leandro Trossard,29,31,7,Arsenal,Belgium
14,FW,Dodi Lukebakio,26,13,2,Sevilla,Belgium
19,FW,Johan Bakayoko,20,10,1,PSV Eindhoven,Belgium
23,FW,Michy Batshuayi,30,54,27,Fenerbahçe,Belgium
1,GK,Brice Samba,29,3,0,Lens,France
16,GK,Mike Maignan,28,14,0,AC Milan,France
23,GK,Alphonse Areola,31,5,0,West Ham United,France
2,DF,Benjamin Pavard,27,53,5,Inter Milan,France
3,DF,Jonathan Clauss,31,12,1,Marseille,France
4,DF,Dayot Upamecano,25,18,2,Bayern Munich,France
5,DF,Jules Koundé,25,26,0,Barcelona,France
13,DF,Ibrahima Konaté,24,14,0,Liverpool,France
17,DF,William Saliba,23,13,0,Arsenal,France
21,DF,Lucas Hernandez,28,37,0,Paris Saint-Germain,France
22,DF,Théo Hernandez,26,25,2,AC Milan,France
6,MF,Eduardo Camavinga,21,15,1,Real Madrid,France
7,MF,Matteo Guendouzi,24,8,1,Lazio,France
8,MF,Aurélien Tchouaméni,24,31,3,Real Madrid,France
14,MF,Adrien Rabiot,28,43,4,Juventus,France
18,MF,Warren Zaïre-Emery,18,2,1,Paris Saint-Germain,France
19,MF,Youssouf Fofana,25,17,3,Monaco[a],France
9,FW,Olivier Giroud,37,131,57,AC Milan,France
10,FW,Kylian Mbappé (captain),25,77,46,Paris Saint-Germain,France
11,FW,Ousmane Dembélé,26,43,5,Paris Saint-Germain,France
12,FW,Randal Kolo Muani,25,15,3,Paris Saint-Germain,France
15,FW,Marcus Thuram,26,18,2,Inter Milan,France
20,FW,Moussa Diaby,24,11,0,Aston Villa,France
1,GK,Rui Patrício (3rd captain),36,108,0,Roma,Portugal
12,GK,José Sá,31,1,0,Wolverhampton Wanderers,Portugal
22,GK,Diogo Costa,24,20,0,Porto,Portugal
-1,GK,Samuel Soares,21,0,0,Benfica,Portugal
2,DF,Diogo Dalot,25,17,2,Manchester United,Portugal
3,DF,Pepe (vice-captain),41,136,8,Porto,Portugal
4,DF,António Silva,20,9,0,Benfica,Portugal
5,DF,Diogo Leite,25,0,0,Union Berlin,Portugal
13,DF,Danilo Pereira,32,71,2,Paris Saint-Germain,Portugal
14,DF,Gonçalo Inácio,22,6,2,Sporting CP,Portugal
15,DF,João Mário,24,3,0,Porto,Portugal
19,DF,Nuno Mendes,21,20,0,Paris Saint-Germain,Portugal
20,DF,João Cancelo,29,51,10,Barcelona,Portugal
-1,DF,Rúben Dias,26,54,2,Manchester City,Portugal
-1,DF,Nélson Semedo,30,28,0,Wolverhampton Wanderers,Portugal
-1,DF,Toti Gomes,25,2,0,Wolverhampton Wanderers,Portugal
6,MF,João Neves,19,5,0,Benfica,Portugal
8,MF,Matheus Nunes,25,12,2,Manchester City,Portugal
16,MF,Otávio,29,20,3,Al Nassr,Portugal
18,MF,Rúben Neves,27,46,0,Al Hilal,Portugal
23,MF,Vitinha,24,15,0,Paris Saint-Germain,Portugal
-1,MF,Bernardo Silva,29,88,11,Manchester City,Portugal
-1,MF,Bruno Fernandes,29,64,20,Manchester United,Portugal
-1,MF,João Palhinha,28,25,2,Fulham,Portugal
7,FW,Cristiano Ronaldo (captain),39,206,128,Al Nassr,Portugal
9,FW,Dany Mota,25,0,0,Monza,Portugal
10,FW,João Félix,24,37,7,Barcelona,Portugal
11,FW,Jota Silva,24,2,0,Vitória de Guimarães,Portugal
17,FW,Bruma,29,12,2,Braga,Portugal
21,FW,Francisco Conceição,21,1,0,Porto,Portugal
-1,FW,Rafael Leão,24,24,4,AC Milan,Portugal
-1,FW,Gonçalo Ramos,22,11,8,Paris Saint-Germain,Portugal
1,GK,Angus Gunn,28,9,0,Norwich City,Scotland
12,GK,Liam Kelly,28,1,0,Motherwell,Scotland
21,GK,Zander Clark,31,3,0,Heart of Midlothian,Scotland
24,GK,Craig Gordon,41,74,0,Heart of Midlothian,Scotland
2,DF,Anthony Ralston,25,8,1,Celtic,Scotland
3,DF,Andrew Robertson (captain),30,69,3,Liverpool,Scotland
5,DF,Liam Cooper,32,18,0,Leeds United,Scotland
6,DF,Kieran Tierney,26,43,1,Real Sociedad,Scotland
13,DF,Jack Hendry,28,30,3,Al-Ettifaq,Scotland
15,DF,Ryan Porteous,25,10,1,Watford,Scotland
16,DF,John Souttar,27,9,1,Rangers,Scotland
20,DF,Greg Taylor,26,13,0,Celtic,Scotland
22,DF,Nathan Patterson,22,21,1,Everton,Scotland
4,MF,Scott McTominay,27,49,8,Manchester United,Scotland
7,MF,John McGinn,29,64,18,Aston Villa,Scotland
11,MF,Ryan Christie,29,47,5,Bournemouth,Scotland
14,MF,Billy Gilmour,22,25,1,Brighton & Hove Albion,Scotland
17,MF,Stuart Armstrong,31,50,5,Southampton,Scotland
19,MF,Lewis Ferguson,24,12,0,Bologna,Scotland
23,MF,Kenny McLean,32,38,2,Norwich City,Scotland
9,FW,Lyndon Dykes,28,36,9,Queens Park Rangers,Scotland
10,FW,Ché Adams,27,29,5,Southampton,Scotland
18,FW,Lawrence Shankland,28,9,2,Heart of Midlothian,Scotland
1,GK,David Raya,28,4,0,Arsenal,Spain
13,GK,Álex Remiro,29,1,0,Real Sociedad,Spain
23,GK,Unai Simón,26,39,0,Athletic Bilbao,Spain
2,DF,Marc Cucurella,25,2,0,Chelsea,Spain
3,DF,Álex Grimaldo,28,2,0,Bayer Leverkusen,Spain
5,DF,Robin Le Normand,27,9,1,Real Sociedad,Spain
14,DF,Aymeric Laporte,29,28,1,Al Nassr,Spain
20,DF,Dani Carvajal,32,43,0,Real Madrid,Spain
22,DF,Jesús Navas,38,51,5,Sevilla,Spain
24,DF,Pedro Porro,24,3,0,Tottenham Hotspur,Spain
25,DF,Daniel Vivian,24,1,0,Athletic Bilbao,Spain
26,DF,Pau Cubarsí,17,2,0,Barcelona,Spain
4,MF,Martín Zubimendi,25,5,0,Real Sociedad,Spain
6,MF,Mikel Merino,27,20,1,Real Sociedad,Spain
8,MF,Fabián Ruiz,27,22,1,Paris Saint-Germain,Spain
15,MF,Álex Baena,22,2,1,Villarreal,Spain
16,MF,Rodri,27,49,3,Manchester City,Spain
18,MF,Oihan Sancet,23,4,1,Athletic Bilbao,Spain
7,FW,Álvaro Morata (captain),31,71,34,Atlético Madrid,Spain
9,FW,Gerard Moreno,31,18,5,Villarreal,Spain
10,FW,Dani Olmo,25,33,8,RB Leipzig,Spain
11,FW,Nico Williams,21,13,2,Athletic Bilbao,Spain
12,FW,Joselu,34,10,5,Real Madrid,Spain
17,FW,Pablo Sarabia,31,27,9,Wolverhampton Wanderers,Spain
19,FW,Lamine Yamal,16,6,2,Barcelona,Spain
21,FW,Mikel Oyarzabal,26,28,7,Real Sociedad,Spain
1,GK,Mert Günok,35,28,0,Beşiktaş,Turkey
12,GK,Okan Kocuk,28,0,0,Samsunspor,Turkey
23,GK,Uğurcan Çakır,27,26,0,Trabzonspor,Turkey
-1,GK,Muhammed Şengezer,27,0,0,İstanbul Başakşehir,Turkey
2,DF,Zeki Çelik,27,43,2,Roma,Turkey
3,DF,Merih Demiral,26,41,2,Al-Ahli,Turkey
4,DF,Samet Akaydin,30,5,0,Panathinaikos,Turkey
13,DF,Rıdvan Yılmaz,22,7,0,Rangers,Turkey
15,DF,Ozan Kabak,24,25,2,1899 Hoffenheim,Turkey
18,DF,Mert Müldür,24,21,1,Fenerbahçe,Turkey
24,DF,Cenk Özkacar,23,7,0,Valencia,Turkey
-1,DF,Abdülkerim Bardakcı,29,6,1,Galatasaray,Turkey
5,MF,Salih Özcan,26,16,0,Borussia Dortmund,Turkey
6,MF,Orkun Kökçü,23,25,2,Benfica,Turkey
10,MF,Hakan Çalhanoğlu (captain),30,83,17,Inter Milan,Turkey
16,MF,İsmail Yüksek,25,13,1,Fenerbahçe,Turkey
17,MF,Arda Güler,19,5,1,Real Madrid,Turkey
20,MF,Abdülkadir Ömür,24,12,0,Hull City,Turkey
22,MF,Kaan Ayhan (vice-captain),29,55,5,Galatasaray,Turkey
25,MF,Can Uzun,18,1,0,Nürnberg,Turkey
7,FW,Kerem Aktürkoğlu,25,27,5,Galatasaray,Turkey
8,FW,İrfan Kahveci,28,30,2,Fenerbahçe,Turkey
9,FW,Enes Ünal,26,33,3,Bournemouth,Turkey
11,FW,Yusuf Yazıcı,27,42,3,Lille,Turkey
14,FW,Yunus Akgün,23,8,2,Leicester City,Turkey
19,FW,Kenan Yıldız,18,4,1,Juventus,Turkey
21,FW,Barış Alper Yılmaz,23,12,1,Galatasaray,Turkey
26,FW,Oğuz Aydın,23,0,0,Alanyaspor,Turkey
1,GK,Alexander Schlager,28,15,0,Red Bull Salzburg,Austria
12,GK,Tobias Lawal,23,0,0,LASK,Austria
13,GK,Patrick Pentz,27,5,0,Brøndby,Austria
2,DF,Maximilian Wöber,26,23,0,Borussia Mönchengladbach,Austria
3,DF,Kevin Danso,25,18,0,Lens,Austria
5,DF,Stefan Posch,26,30,1,Bologna,Austria
14,DF,Leopold Querfeld,20,1,0,Rapid Wien,Austria
16,DF,Phillipp Mwene,30,11,0,Mainz 05,Austria
21,DF,Stefan Lainer,31,39,2,Borussia Mönchengladbach,Austria
24,DF,Flavius Daniliuc,22,2,0,Red Bull Salzburg,Austria
4,MF,Xaver Schlager,26,43,4,RB Leipzig,Austria
6,MF,Nicolas Seiwald,22,22,0,RB Leipzig,Austria
8,MF,Alexander Prass,22,4,0,Sturm Graz,Austria
9,MF,Marcel Sabitzer,30,78,17,Borussia Dortmund,Austria
10,MF,Florian Grillitsch,28,41,1,1899 Hoffenheim,Austria
17,MF,Patrick Wimmer,22,10,0,VfL Wolfsburg,Austria
18,MF,Romano Schmid,24,9,0,Werder Bremen,Austria
19,MF,Christoph Baumgartner,24,36,13,RB Leipzig,Austria
20,MF,Konrad Laimer,26,34,4,Bayern Munich,Austria
22,MF,Matthias Seidl,23,3,0,Rapid Wien,Austria
26,MF,Christoph Lang,22,0,0,Rapid Wien,Austria
7,FW,Andreas Weimann,32,23,2,West Bromwich Albion,Austria
11,FW,Michael Gregoritsch,29,53,15,SC Freiburg,Austria
23,FW,Maximilian Entrup,26,2,1,TSV Hartberg,Austria
25,FW,Muhammed Cham,23,3,0,Clermont,Austria
1,GK,Jordan Pickford,30,60,0,Everton,England
13,GK,Aaron Ramsdale,25,4,0,Arsenal,England
22,GK,James Trafford,21,0,0,Burnley,England
